Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central African Republic,CAF,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,10,10.32,10.67,10.85,11.37,11.41,12.61,12.02,13.28,14.13,14.95,15.11,15.73,16.54,17.89,17.57,18.9,20.68,20.03,22.73,24.22,26.1,28.78,29.32,31.79,33.18,38.66,41.15,42.11,42.75,44.38,46.43,47.16,48.2,51.46,60.28,54.71,55.86,56.44,67.92,68.28,70.39,69.06,74.34,76.43,78.59,83.48,84.59,86.64,90.53,96.05,97.35,99.29,99.85,99.82,100.33,103.2,105.51,105.58,107.53,109.2,
Canada,CAN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,57.24,57.01,57.6,60.04,64.53,63.94,63.82,65.58,64.53,66.6,66.41,67.19,65.77,66.29,68.47,72.45,73.39,71.86,69.5,72.82,73.26,75.87,75.25,76.8,78.32,77,76.37,80.44,80.64,82.23,72.39,74.06,72.98,76.38,78.49,80.81,83.88,89.37,94.62,96.42,98.43,100.6,97.83,106.89,106.4,103.24,101.87,103.61,101.79,100.37,92.6,90.46,89.79,97.42,99,103.58,108.98,112.71,115.99,117.06,120.86,
Central Europe and the Baltics,CEB,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,68.59,70.43,70.18,69.19,71.33,72.89,75.7,79.53,77.87,79.81,79.55,80.27,82.3,86,85.47,89.17,90.24,90.34,94.24,96.7,94.39,96.27,95.97,98.45,99.82,100.33,98.85,95.93,98.55,98.53,99.71,97.61,95.87,93.22,95.42,93.4,91.88,93.6,93.07,90.23,93.32,93.94,93.06,93.12,93.87,94.52,95.15,97.14,98.58,99.96,101.01,100.11,98.87,100.4,100.28,99.33,98.23,99.98,97.07,97.67,98.34,
Channel Islands,CHI,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,24.41,25.88,27.26,25.29,27.63,29.52,29.9,33.35,34.16,35.45,30.64,25.22,25.01,35.25,38.14,36.18,34.37,34.16,35.88,38.2,42.38,41.72,40.49,38.9,38.38,39.91,41.32,43.98,47.67,51.85,52.09,53.12,58.42,63.28,67.38,69.37,72.39,74.78,72.99,75.29,79.96,78.79,78.96,84.43,87.86,96.29,97.27,100.69,96.33,96.88,99.67,104.06,99.06,99.12,100.47,100.41,96.26,101.81,102.45,106.86,105.59,
China,CHN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,3.33,3.74,5.02,6.05,6.74,7.23,7.54,7.53,7.48,7.51,8.42,9.17,9.34,9.43,9.77,9.75,9.9,10.68,12.49,13.97,14.55,15.54,16.19,18.62,20.4,21.61,23.7,26.48,28,30.27,33.75,37.06,41.56,47.28,54.54,53.5,58.36,63.25,66.8,68.08,69.41,71.34,74.54,77.28,81.31,83.26,82.84,87.11,90.25,92.48,92.85,96.45,97.34,99.17,100.66,100.17,99.99,100.49,96.97,98.27,108.02,
Cote d'Ivoire,CIV,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,22.06,22.28,22.65,26.43,26.74,27.07,29.32,29.92,30.34,30.69,32.7,33.24,33.93,36.55,37.33,38.12,40.86,42.29,42.84,44.99,48.72,50.24,52.39,53.39,52.46,55.23,55.37,57.51,59.45,62.33,61.37,62.67,64.06,61.47,61.81,60.13,64.33,64.96,65.86,67.65,69.28,70.82,72.57,76.08,76.34,77.56,80.13,83.41,87.03,90.41,89.67,94.44,101.98,98.17,99.32,102.51,107.77,112.22,113.17,114.69,117.08,
Cameroon,CMR,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,22.18,22.11,22.8,21.89,22.98,24.72,26.06,27.31,27.54,30.47,32.34,33.45,32.91,33.16,33.85,36,37.78,39.35,40.46,40.95,39.78,41.47,42.39,48.28,49.59,52.4,56.31,61.16,63.51,66.68,68.66,68.83,70.43,68.54,69.87,73.9,70.98,74.56,80.5,80.24,83.8,80.93,81.12,88.03,89.96,92.42,94.06,100.74,99.81,94.91,97.25,92.02,99.58,99.23,100.32,100.45,99.77,100.03,100.24,100.45,100.67,
"Congo, Dem. Rep.",COD,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,74.48,74.53,74.38,75.55,70.2,70.35,71.13,71.53,72.15,73.95,68.53,68.54,74.33,74.88,75.2,75.92,76.09,74.56,75.74,75.9,76.86,77.86,79.29,81.09,82.88,85.85,89.22,91.64,94.84,94.45,91.38,95.25,96.41,97.68,95.36,96.16,98.65,99.19,96.47,95.45,94.12,92.5,92.7,92.99,93.8,93.21,93.35,93.64,95.66,95.85,97.89,97.94,98.17,98.93,100.25,100.82,101.25,102.31,100.95,104.23,106.4,
"Congo, Rep.",COG,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,15.75,16.14,16.81,16.99,16.9,16.92,16.62,17.22,17.94,18.52,19.69,19.93,19.95,20.2,20.78,22.23,22.29,24.93,26,25.76,26.65,27.54,28.28,28.42,29.3,30.4,30.91,31.14,30.94,31.88,32.83,33.45,34.48,34.93,35.75,36.15,37.47,40.46,41.57,42.8,44.26,45.93,49.84,54.61,62.67,68.32,73.8,79.17,82.18,89.8,99.59,102.74,98.38,92.96,107.51,99.54,102.55,103.27,106.52,107.59,109.92,
Colombia,COL,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,23.66,25.27,26,26.77,27.66,26.41,26.51,27.2,28.3,30.26,32.8,31.71,30.88,32.47,35.13,38.84,38.79,38.45,40.74,40.54,43.05,43.05,40.2,42.4,43.02,44.3,44.95,49.35,53.15,57.21,57.94,54.66,56.7,59.83,65.05,65.4,66.95,68.85,67.42,70.61,71.3,72.17,72.44,75.32,79.23,84.84,87.13,94.27,86.04,85.71,89.04,94.35,96.72,98.52,101.26,100.22,104.93,107.22,106.81,107.17,108.91,
Comoros,COM,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,37.8,40.28,42.71,45.16,47.59,49.99,49.62,51.68,52.49,52.48,54.64,60.09,64.23,66.59,68.63,71.57,73.55,76.13,65.83,65,64.26,64.09,63.64,63.84,62.8,60.57,62.76,64.85,66.07,63.1,86.19,87.79,89.84,91.77,91.4,91.98,89.83,91.89,95.64,91.28,95.82,98.34,89.44,90.66,91.4,93.38,96.2,97.32,99.86,101.76,103.23,103.49,106.42,100.72,99.84,99.44,99.53,97.48,99.03,103.89,98.22,
Cabo Verde,CPV,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,14.51,14.59,16.03,17.11,18.32,19.41,19.65,20.9,21.44,22.13,22.5,21.98,22,19.55,20.01,20.26,22.31,24.11,24.62,26.28,30.65,40.96,31.74,31.15,40.25,46.11,52.14,64.94,63.97,66.99,71.38,104.62,107.65,87.95,116.96,84.1,98.98,114.57,115.81,108.27,98.45,96.61,91.97,100.5,102.78,96.07,96.62,93.05,105.36,100.73,92.18,94.27,97.27,97.47,99.81,102.72,92.61,87.28,92.92,98.53,99.87,
Costa Rica,CRI,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,16.82,16.11,18.7,19.94,19.47,17.72,19.15,21.97,23.18,24.83,26.7,27.6,27.79,29.59,36.69,42.18,43.55,41.13,44.59,43.29,44.57,39.56,41.24,44.11,51.8,51.61,54.13,53.25,54.56,58.21,62.26,59.14,59.01,65.78,70.32,70.24,67.78,68.62,73.64,73.63,73.25,72.44,74.38,74.47,80.12,81.07,87.07,90.95,94.68,97.5,97.51,97.1,98.36,100.41,100.4,99.2,102.78,105.77,111.08,111.54,113.16,
Caribbean small states,CSS,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,69.92,74.11,77.61,83.26,87.28,90.27,94.81,115.49,114.72,110.7,107.5,108.06,101.94,95.02,89.97,102.57,112.43,112.35,111.05,114.1,120.68,116.88,121.16,124.15,125.73,127.74,125.58,126.88,128.67,126.57,103.1,81.97,76.57,79.93,79.16,81.51,75.08,77.74,82.38,81.95,77.79,74.25,72.46,69.77,65.51,68.66,83.53,90.41,91.62,91.09,93.97,92.43,96.01,98.02,95.73,106.25,105.15,105.44,104.21,81.64,78.61,
Curacao,CUW,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,20.64,21.6,22.88,23.59,26.31,31.17,34.32,37.81,43.8,47.75,54.1,56.83,59.69,45.25,30.77,35.32,38.11,43.13,44.19,44.66,47.7,51.77,55.88,61.46,64.34,68.45,73.06,75.77,79.15,80.38,80.51,83.13,91.56,97.03,102.52,104.98,107.17,109.18,113.55,117,119.02,123.38,119.58,115.42,111.7,104.01,106.35,112.75,106.76,105.43,108.09,105.85,99.61,95.66,99.64,104.7,109.56,110.9,115.62,116.88,126.5,
Czechia,CZE,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.2,140.29,142.76,141.24,134.16,136.94,132.45,127.12,128.27,123.86,121.62,119.73,116.58,113.38,118.4,109.84,103.85,99.52,98.11,93.6,95.54,97.89,100.26,101.85,101.12,99.97,100.42,102.93,104.64,
