Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Caribbean small states,CSS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.3636851,,,,,,,,,,271.9010156,286.7066906,283.1706687,286.762788,209.6104961,224.3506374,231.5021724,234.1081981,297.1843329,303.8817278,312.6425561,306.6704132,289.9696645,287.2930115,280.3539978,,,,,,,,
Cuba,CUB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.3872044,576.5689531,563.7877251,536.1233994,565.7914071,540.8053771,524.4440699,580.7716329,543.7456179,560.3451887,498.0505005,588.3110006,494.9908457,441.8870365,489.0207614,,,,,,,,
Cayman Islands,CYM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.29417104,94.50843951,97.2477809,103.6850678,111.8760797,90.94876949,99.87600297,95.34577075,96.1684647,92.07492623,93.46361456,88.95474601,86.93469642,92.1650855,82.20088457,79.6596526,79.126855,79.52410331,81.29326221,81.10120038,76.69058886,74.04301217,72.11038737,66.93074348,69.63197685,,,,,,,,
Czechia,CZE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.3879391,208.1384602,203.3058714,196.9844812,185.5804479,176.6279755,174.8091947,176.8810153,171.9436022,157.9600963,159.6715907,159.1408853,158.3685551,159.9722151,156.2686606,144.8398308,138.8292307,131.6093762,125.2358926,123.0757167,126.568089,119.9145139,120.3417539,118.5328983,113.8554448,106.723023,,,,,,,
Germany,DEU,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4748494,112.3641762,108.196486,108.192384,105.1603169,104.6507055,107.3212832,104.5121303,101.8290562,97.67660293,95.36999314,96.60672375,94.62588742,94.79120963,94.35531781,92.98224332,92.04972085,84.6233622,84.73043067,84.15016921,85.04561825,77.77286321,77.73727377,78.86287105,74.3322401,74.62083343,,,,,,,
Djibouti,DJI,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.78786855,,,,,,,,,,,,,,54.91125306,57.35107072,56.13432351,54.03784558,,,,,,,,,,,,,,,
Denmark,DNK,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5221161,94.62585452,88.80550413,91.18402874,89.60221895,86.16486829,94.74963056,85.02307082,81.83096195,76.16875362,71.35203514,72.94363155,71.84443186,75.67263554,71.30663166,67.74300967,69.91768562,67.62483783,66.08808096,66.43268832,69.07561968,62.97496826,60.36322445,60.71061177,55.19049783,53.25153451,,,,,,,
