Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei,BRN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.71021402,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99219923,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99171663,43.99219919,..,43.99219919,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.064154119,2.487571434,3.137854589,3.138836597,3.147493481,4.125258101,4.125884333,4.130674518,4.130674518,4.132099432,4.446247376,4.576162585,8.974810099,9.055477069,9.067415486,9.075244054,9.088575793,9.098135458,9.18917775,9.18917775,36.58094599,..,36.60969288,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.6968433,13.68440254,13.68440254,13.68440254,13.68440254,13.68440254,13.84597233,13.84597233,13.84597233,13.84597233,13.85841049,13.84597233,13.84597233,14.24347031,14.24347031,14.24347031,14.24347031,14.24347031,14.24347031,14.24347031,15.19144088,..,15.19144088,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.84016586,3.840163188,3.840163188,4.221214992,4.221214992,4.221214992,4.662204627,4.662204627,4.662204627,4.662204627,4.849404251,4.849381021,4.849381021,4.849381021,4.849381021,4.849381021,4.849381021,4.849381021,4.849381021,4.849381021,4.886154261,..,4.886154261,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.029484371,0.032909547,0.032909547,15.4896329,17.386187,17.4874775,17.49283574,17.54104051,17.54455154,22.88648748,23.06070722,22.88648748,22.88648748,22.88648748,25.20606469,25.20606469,25.20606469,25.25189095,25.25189095,25.77048822,26.20968827,..,26.20968827,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.875977444,7.143551784,7.143551784,7.143551784,7.602144521,7.619714175,7.767985014,7.767985014,7.767985014,7.767985014,7.643590263,9.150410142,9.15410672,9.15410672,9.15410672,9.15410672,9.15410672,9.15410672,9.15410672,9.15410672,10.99072217,..,10.99383343,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.374633914,4.663583352,4.668511296,4.765028166,4.842089629,5.177759073,5.365753595,5.466460687,5.709279495,5.789368506,7.031136053,6.347208863,6.386163527,6.733720539,6.762088866,6.931423089,6.992306451,7.042026076,7.199291299,7.499389394,8.398450265,..,8.55515248,..,..,..,..,..,..,..,..,..,..
Cape Verde,CPV,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.46883988,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.46883988,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.468881806,2.469321992,..,2.469321992,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.734952984,4.509275915,4.515048463,4.61463085,4.714163107,4.737981305,5.633464281,5.931851729,9.096844973,9.197267921,9.469690102,9.26423342,9.482202524,9.482217225,9.522839725,9.616876041,9.616876041,9.663981152,9.663981152,9.663981152,11.35336626,..,11.36289202,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.081343563,7.34254915,7.937852858,7.937852858,7.940684199,7.940684199,7.973893047,8.69012493,8.69012493,8.69012493,8.715969603,8.69012493,8.710319753,8.710319753,8.710319753,8.710319753,8.710319753,8.710319753,8.710319753,8.710319753,8.736095808,..,8.736095808,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.50773162,17.48881418,17.74336498,17.74428914,17.74428914,17.74428914,17.74428914,17.74428914,17.74432291,17.74432291,17.7632487,17.74432291,17.74432291,17.74432291,17.74432291,17.74432291,17.74432291,17.74432291,17.74432291,17.74432291,17.96583067,..,17.97565525,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.24525437,9.443462864,10.59230166,10.88618924,11.10906721,11.61924817,11.82174451,12.38562308,12.68889933,12.86291138,15.80960979,12.97003485,13.53334647,13.60148167,13.88663914,14.40059667,14.41778133,14.53886632,14.57748096,14.59397831,26.42832681,..,26.47274161,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.547262704,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.547262704,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,9.385816894,16.57312838,..,16.62265531,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,9.329154065,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.43393033,16.02077945,16.02381921,16.02406445,16.17556268,16.53531469,16.53531469,16.53532137,16.5499817,16.5499817,17.31061895,16.5499817,16.5499817,16.55094079,16.55094079,16.55094079,16.55094079,16.55094079,16.55094079,16.55094079,18.55680244,..,18.55680244,..,..,..,..,..,..,..,..,..,..
